algorithm,scenario,status,split,repeat_index,benchmark_seed,instance_index,device_id,shots,edge_key,response_key,requested_two_qubit_depth,depth_sweep_method,physical_qubits,target_state,target_bitstring,tvd_to_ideal,success_probability,hellinger_fidelity,logical_gate_count,logical_two_qubit_gate_count,coherent_correction_locations,pretranspile_depth,pretranspile_two_qubit_depth,pretranspile_two_qubit_gate_count,transpiled_depth,transpiled_two_qubit_depth,transpiled_two_qubit_gate_count,response_condition_number,response_inverse_overhead_l1,response_validation_passed,correction_validation_passed,generator_validation_passed,generator_correction_applied,correction_components,distribution,measured_distribution_before_inverse,distribution_after_readout,job_id,qpu_cost,interpretation,readout_raw_normalization,readout_raw_negativity,readout_simplex_projection_l1,readout_condition_number,readout_inverse_overhead_l1,inverse_raw_normalization,inverse_raw_negativity,simplex_projection_l1,reporting_role
grover_2q_exhaustive,learned_generator_correction_only,executed_ablation_not_recommended,evaluation,0,22027,0,fake_fez,256,q0-q1,q0-q1@d2q2,2,cx_cx_identity_folding,"[0, 1]",00,b00,0.0,1.0,1.0,20,2,0,14,2,2,9,2,2,1.5506559403383504,1.5701284409284961,True,False,,False,"alpha,gamma,kappa_down","{""00"": 1.0, ""01"": 0.0, ""10"": 0.0, ""11"": 0.0}","{""00"": 0.953125, ""01"": 0.03125, ""10"": 0.01171875, ""11"": 0.00390625}",,,null,v0.4 generator-only ablation; readout nuisance remains,,,,,,0.9710231525815423,0.23406723041045474,0.4391576134024518,rejected_diagnostic_ablation_not_a_claimed_result
grover_2q_exhaustive,learned_generator_correction_only,executed_ablation_not_recommended,evaluation,0,22027,1,fake_fez,256,q0-q1,q0-q1@d2q2,2,cx_cx_identity_folding,"[0, 1]",01,b01,0.0,1.0,1.0,18,2,0,14,2,2,9,2,2,1.5506559403383504,1.5701284409284961,True,False,,False,"alpha,gamma,kappa_down","{""00"": 0.0, ""01"": 1.0, ""10"": 0.0, ""11"": 0.0}","{""00"": 0.02734375, ""01"": 0.953125, ""10"": 0.0078125, ""11"": 0.01171875}",,,null,v0.4 generator-only ablation; readout nuisance remains,,,,,,0.9707516617419429,0.2222070370559051,0.41516573585375316,rejected_diagnostic_ablation_not_a_claimed_result
grover_2q_exhaustive,learned_generator_correction_only,executed_ablation_not_recommended,evaluation,0,22027,2,fake_fez,256,q0-q1,q0-q1@d2q2,2,cx_cx_identity_folding,"[0, 1]",10,b10,0.0,1.0,1.0,18,2,0,12,2,2,10,2,2,1.5506559403383504,1.5701284409284961,True,False,,False,"alpha,gamma,kappa_down","{""00"": 0.0, ""01"": 0.0, ""10"": 1.0, ""11"": 0.0}","{""00"": 0.03515625, ""01"": 0.00390625, ""10"": 0.94921875, ""11"": 0.01171875}",,,null,v0.4 generator-only ablation; readout nuisance remains,,,,,,0.9708026943968258,0.20166668958757517,0.3741360735719761,rejected_diagnostic_ablation_not_a_claimed_result
grover_2q_exhaustive,learned_generator_correction_only,executed_ablation_not_recommended,evaluation,0,22027,3,fake_fez,256,q0-q1,q0-q1@d2q2,2,cx_cx_identity_folding,"[0, 1]",11,b11,0.0,1.0,1.0,16,2,0,12,2,2,10,2,2,1.5506559403383504,1.5701284409284961,True,False,,False,"alpha,gamma,kappa_down","{""00"": 0.0, ""01"": 0.0, ""10"": 0.0, ""11"": 1.0}","{""01"": 0.01953125, ""10"": 0.0234375, ""11"": 0.95703125}",,,null,v0.4 generator-only ablation; readout nuisance remains,,,,,,0.9709181690799854,0.1971193388298799,0.36515684673974513,rejected_diagnostic_ablation_not_a_claimed_result
grover_2q_exhaustive,learned_generator_correction_only,executed_ablation_not_recommended,evaluation,0,22027,4,fake_fez,256,q1-q2,q1-q2@d2q2,2,cx_cx_identity_folding,"[1, 2]",00,b00,0.0,1.0,1.0,20,2,0,14,2,2,9,2,2,1.5123947181941026,1.5262894483822462,True,False,,False,"alpha,gamma,kappa_down","{""00"": 1.0, ""01"": 0.0, ""10"": 0.0, ""11"": 0.0}","{""00"": 0.9765625, ""01"": 0.0078125, ""10"": 0.015625}",,,null,v0.4 generator-only ablation; readout nuisance remains,,,,,,0.9714331022850097,0.22177466794043918,0.4149824381658881,rejected_diagnostic_ablation_not_a_claimed_result
grover_2q_exhaustive,learned_generator_correction_only,executed_ablation_not_recommended,evaluation,0,22027,5,fake_fez,256,q1-q2,q1-q2@d2q2,2,cx_cx_identity_folding,"[1, 2]",01,b01,0.0,1.0,1.0,18,2,0,14,2,2,9,2,2,1.5123947181941026,1.5262894483822462,True,False,,False,"alpha,gamma,kappa_down","{""00"": 0.0, ""01"": 1.0, ""10"": 0.0, ""11"": 0.0}","{""00"": 0.0078125, ""01"": 0.9921875}",,,null,v0.4 generator-only ablation; readout nuisance remains,,,,,,0.971583233153097,0.21747779070794648,0.40653881456899,rejected_diagnostic_ablation_not_a_claimed_result
grover_2q_exhaustive,learned_generator_correction_only,executed_ablation_not_recommended,evaluation,0,22027,6,fake_fez,256,q1-q2,q1-q2@d2q2,2,cx_cx_identity_folding,"[1, 2]",10,b10,0.0,1.0,1.0,18,2,0,12,2,2,10,2,2,1.5123947181941026,1.5262894483822462,True,False,,False,"alpha,gamma,kappa_down","{""00"": 0.0, ""01"": 0.0, ""10"": 1.0, ""11"": 0.0}","{""00"": 0.0078125, ""01"": 0.00390625, ""10"": 0.9765625, ""11"": 0.01171875}",,,null,v0.4 generator-only ablation; readout nuisance remains,,,,,,0.9700735505239139,0.2464989195516435,0.46307138962720085,rejected_diagnostic_ablation_not_a_claimed_result
grover_2q_exhaustive,learned_generator_correction_only,executed_ablation_not_recommended,evaluation,0,22027,7,fake_fez,256,q1-q2,q1-q2@d2q2,2,cx_cx_identity_folding,"[1, 2]",11,b11,0.0,1.0,1.0,16,2,0,12,2,2,10,2,2,1.5123947181941026,1.5262894483822462,True,False,,False,"alpha,gamma,kappa_down","{""00"": 0.0, ""01"": 0.0, ""10"": 0.0, ""11"": 1.0}","{""00"": 0.0078125, ""01"": 0.00390625, ""10"": 0.01171875, ""11"": 0.9765625}",,,null,v0.4 generator-only ablation; readout nuisance remains,,,,,,0.9703776168432785,0.21773115846581687,0.4058399337749122,rejected_diagnostic_ablation_not_a_claimed_result
grover_2q_exhaustive,learned_generator_correction_only,executed_ablation_not_recommended,evaluation,0,22027,8,fake_fez,256,q2-q3,q2-q3@d2q2,2,cx_cx_identity_folding,"[2, 3]",00,b00,0.0,1.0,1.0,20,2,0,14,2,2,9,2,2,1.445719831682495,1.4403017751005103,True,False,,False,"alpha,gamma,kappa_down","{""00"": 1.0, ""01"": 0.0, ""10"": 0.0, ""11"": 0.0}","{""00"": 0.9765625, ""01"": 0.00390625, ""10"": 0.01953125}",,,null,v0.4 generator-only ablation; readout nuisance remains,,,,,,0.9708183564801788,0.20394238441286686,0.37870312530591244,rejected_diagnostic_ablation_not_a_claimed_result
grover_2q_exhaustive,learned_generator_correction_only,executed_ablation_not_recommended,evaluation,0,22027,9,fake_fez,256,q2-q3,q2-q3@d2q2,2,cx_cx_identity_folding,"[2, 3]",01,b01,0.0,1.0,1.0,18,2,0,14,2,2,9,2,2,1.445719831682495,1.4403017751005103,True,False,,False,"alpha,gamma,kappa_down","{""00"": 0.0, ""01"": 1.0, ""10"": 0.0, ""11"": 0.0}","{""00"": 0.01171875, ""01"": 0.96484375, ""10"": 0.0078125, ""11"": 0.015625}",,,null,v0.4 generator-only ablation; readout nuisance remains,,,,,,0.9711184768116758,0.1666579407419166,0.304434358295509,rejected_diagnostic_ablation_not_a_claimed_result
